rank,word_key,word,display_word,forced_learner_demand,curriculum_evidence,curriculum_age,aoa_median,wordfreq_zipf,frequency_band,bnc_frequency,prior_source_continuity,morpholex_exact,verified_prefix_count,verified_suffix_count,morpholex_segmentation,british_ipa,cmudict,syllables,age_band,complexity_band,proposed_micro_skill_keys,mapping_review,morphology_review,pronunciation_review,dictation_review,british_english_review,accessibility_review,source_licence_review,final_decision,reviewed_by,reviewed_at,review_notes
1,either_en_gb,either,either,True,True,9,8.0,5.33,high,278.0,False,True,0,0,{(either)},/ˈaɪðɐ/,IY1 DH ER0,2,middle_primary,medium,D4_PG_LONG_EE_EI,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
2,belief_en_gb,belief,belief,True,True,2,2.0,4.46,high,51.0,False,True,0,0,{(belief)},/bɪlˈiːf/,B IH0 L IY1 F,2,early_primary,medium,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
3,immigrants_en_gb,immigrants,immigrants,True,True,10,,4.37,high,0,False,True,1,1,{<in<(migr)>ant>},/ˈɪmɪɡɹənts/,IH1 M AH0 G R AH0 N T S,3,upper_primary,high,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
4,summary_en_gb,summary,summary,True,True,10,9.5,4.37,high,28.0,False,True,0,1,{(summar)>y>},/sˈʌməɹi/,S AH1 M ER0 IY0,3,upper_primary,medium,D4_SCHWA_MEDIAL_COMMON_WEAK_VOWELS,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
5,diabetes_en_gb,diabetes,diabetes,True,True,8,8.0,4.17,high,0,False,True,0,0,{(diabetes)},/daɪəbˈiːtiːz/,D AY2 AH0 B IY1 T IY0 Z,4,middle_primary,high,D4_MOR_ROOTS_COMMON_GREEK_ROOTS|D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
6,brownie_en_gb,brownie,brownie,True,True,6,6.0,3.21,medium,0,False,True,0,1,{(brown)}>y>,/bɹˈaʊni/,B R AW1 N IY0,2,early_primary,medium,D4_PG_LONG_EE_IE,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
7,i_en_gb,i,I,False,True,5,2.0,7.09,high,8875.0,False,True,0,0,{(i)},/ˈaɪ/,AY1,1,early_primary,low,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
8,be_en_gb,be,be,False,True,5,2.0,6.79,high,6644.0,False,True,0,0,{(be)},/bˈiː/,B IY1,1,early_primary,low,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
9,not_en_gb,not,not,False,True,8,7.0,6.69,high,4626.0,False,True,0,0,{(not)},/nˈɒt/,N AA1 T,1,early_primary,low,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
10,by_en_gb,by,by,False,True,5,5.0,6.66,high,5128.0,False,True,0,0,{(by)},/bˈaɪ/,B AY1,1,early_primary,low,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,in_review,in_review,in_review,in_review,in_review,in_review,in_review,in_review,,,
