word_key,normalised_word,display_word,dialect_code,frequency_band,age_band,complexity_band,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,row_status
grand_en_gb,grand,grand,en-GB,medium,middle_primary,low,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
grandmother_en_gb,grandmother,grandmother,en-GB,high,early_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
homework_en_gb,homework,homework,en-GB,high,early_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
sunflower_en_gb,sunflower,sunflower,en-GB,medium,early_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
cream_en_gb,cream,cream,en-GB,high,early_primary,low,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
living_en_gb,living,living,en-GB,high,early_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
living_room_en_gb,living room,living room,en-GB,high,early_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
in_en_gb,in,in,en-GB,high,early_primary,low,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
law_en_gb,law,law,en-GB,high,middle_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
mother_in_law_en_gb,mother-in-law,mother-in-law,en-GB,medium,upper_primary,high,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
part_en_gb,part,part,en-GB,high,early_primary,low,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
part_time_en_gb,part-time,part-time,en-GB,medium,middle_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
office_en_gb,office,office,en-GB,high,early_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
post_office_en_gb,post office,post office,en-GB,medium,early_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
twenty_en_gb,twenty,twenty,en-GB,high,early_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
known_en_gb,known,known,en-GB,high,middle_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
well_known_en_gb,well-known,well-known,en-GB,medium,middle_primary,medium,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,active
